0.761999845505
         436836 function calls (433877 primitive calls) in 1.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1459    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
       92    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
        1    0.000    0.000    0.001    0.001 triangulate.py:1(<module>)
        1    0.000    0.000    0.001    0.001 quadpack.py:3(<module>)
      500    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
      481    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 _internal.py:6(<module>)
        1    0.000    0.000    0.051    0.051 add_newdocs.py:10(<module>)
     1780    0.000    0.000    0.000    0.000 sre_parse.py:127(__len__)
        1    0.000    0.000    0.001    0.001 TypeSlots.py:6(<module>)
   102/90    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
      104    0.000    0.000    0.001    0.000 _decorator2.py:124(update)
        1    0.000    0.000    0.001    0.001 __init__.py:868(rc_params_from_file)
        1    0.000    0.000    0.002    0.002 __init__.py:19(<module>)
        1    0.000    0.000    0.001    0.001 Machines.py:9(<module>)
      935    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        2    0.000    0.000    0.001    0.000 extension.py:4(<module>)
        1    0.000    0.000    0.003    0.003 lines.py:4(<module>)
      407    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.001    0.001 base.py:1(<module>)
      106    0.000    0.000    0.000    0.000 ntpath.py:164(split)
        1    0.000    0.000    0.004    0.004 decimal.py:116(<module>)
     1184    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        1    0.000    0.000    0.001    0.001 optimize.py:17(<module>)
      289    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.002    0.001 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _validation.py:1(<module>)
      172    0.000    0.000    0.003    0.000 cbook.py:1078(dedent)
      928    0.000    0.000    0.000    0.000 sre_parse.py:91(__init__)
      337    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.032    0.032 orthogonal.py:79(<module>)
        1    0.000    0.000    0.001    0.001 graph.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
        1    0.000    0.000    0.003    0.003 polynomial.py:4(<module>)
      935    0.000    0.000    0.001    0.000 <string>:8(__new__)
        7    0.000    0.000    0.277    0.040 pyxbuild.py:22(pyx_to_dll)
      935    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.000    0.000 minpack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
      714    0.000    0.000    0.000    0.000 string.py:482(translate)
       56    0.000    0.000    0.001    0.000 collections.py:38(__init__)
        1    0.000    0.000    0.000    0.000 lbfgsb.py:9(<module>)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.001    0.001 vf2userfunc.py:32(<module>)
       58    0.000    0.000    0.001    0.000 inspect.py:844(formatargspec)
        1    0.000    0.000    0.000    0.000 kde.py:20(<module>)
        1    0.000    0.000    0.010    0.010 _discrete_distns.py:5(<module>)
        7    0.000    0.000    0.320    0.046 pyximport.py:169(build_module)
        1    0.000    0.000    0.001    0.001 cygwinccompiler.py:7(<module>)
        1    0.000    0.000    0.002    0.002 data.py:7(<module>)
        1    0.000    0.000    0.001    0.001 Utils.py:6(<module>)
        1    0.000    0.000    0.001    0.001 atlas.py:11(<module>)
        7    0.000    0.000    0.001    0.000 ConfigParser.py:464(_read)
    102/2    0.000    0.000    0.001    0.000 pyparsing.py:873(_parseNoCache)
       13    0.000    0.000    0.010    0.001 _distn_infrastructure.py:2559(__init__)
        1    0.000    0.000    0.000    0.000 zeros.py:1(<module>)
       65    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 linesearch.py:13(<module>)
        1    0.000    0.000    0.001    0.001 geo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cobyla.py:11(<module>)
        1    0.000    0.000    0.000    0.000 spawn.py:7(<module>)
      148    0.000    0.000    0.000    0.000 re.py:204(escape)
        1    0.000    0.000    0.000    0.000 slsqp.py:14(<module>)
        1    0.000    0.000    0.000    0.000 scale.py:1(<module>)
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.002    0.002 uuid.py:45(<module>)
        1    0.000    0.000    0.000    0.000 matfuncs.py:3(<module>)
      277    0.000    0.000    0.000    0.000 sre_parse.py:258(_escape)
        1    0.000    0.000    0.000    0.000 nnls.py:1(<module>)
       18    0.000    0.000    0.001    0.000 abc.py:86(__new__)
      485    0.000    0.000    0.000    0.000 urllib.py:1200(<genexpr>)
        1    0.000    0.000    0.001    0.001 DFA.py:9(<module>)
       60    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:15(<module>)
      485    0.000    0.000    0.000    0.000 urlparse.py:331(<genexpr>)
        6    0.000    0.000    0.001    0.000 patches.py:1610(_pprint_styles)
       41    0.000    0.000    0.000    0.000 ntpath.py:398(normpath)
        1    0.000    0.000    0.001    0.001 small.py:5(<module>)
        7    0.000    0.000    0.237    0.034 cygwinccompiler.py:92(__init__)
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tnc.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:1(<module>)
        1    0.000    0.000    0.001    0.001 chordal_alg.py:8(<module>)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
       99    0.000    0.000    0.001    0.000 _distn_infrastructure.py:611(__init__)
      120    0.000    0.000    0.021    0.000 sre_compile.py:481(_code)
       67    0.000    0.000    0.000    0.000 {filter}
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
      120    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 current_flow_closeness.py:4(<module>)
       65    0.000    0.000    0.000    0.000 copy.py:306(_reconstruct)
        1    0.000    0.000    0.002    0.002 texmanager.py:35(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
